population,feature,bin,expected_share,actual_share,csi_contribution
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N2,0.041662601758208406,0.0428596979009154,3.3911405897289224e-05
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N3,0.04357581867256349,0.041526429605059915,9.872377762752524e-05
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N4,0.04389017159333572,0.04303855096499358,1.668679527822205e-05
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N5,0.04247016357191636,0.04121750158528852,3.750323911627805e-05
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N6,0.04255688161902594,0.04141261401882835,3.1188216355193906e-05
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N7,0.09007837143507529,0.08880867599954474,1.8024262738672045e-05
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N8,0.043819713180059186,0.04477830349739037,2.074383354274252e-05
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N9,0.04379803366828179,0.04185161699429296,8.848116079053657e-05
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,MISSING,0.05644260891244729,0.05620864022893192,9.718742400951014e-07
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N0,0.04493078815865067,0.045363640798009856,4.1500421410368065e-06
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N1,0.1854248642320575,0.18265775653220168,4.160494865965441e-05
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N10,0.04775996444560068,0.04806269612864413,1.9128414152230447e-06
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N11,0.04957020367901315,0.04999756109458075,3.6685664800490304e-06
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N12,0.04881142076680433,0.04915207388257484,2.3691480880233966e-06
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N2,0.23468613486824277,0.23719168170658342,2.6607836760191604e-05
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N3,0.04682774543917271,0.04750987756694795,9.864830901214886e-06
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N4,0.04728843506444235,0.047477358828024646,7.532725525741646e-07
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N5,0.047055380312835356,0.04638798107409395,9.53367497663037e-06
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N6,0.046849424950950104,0.04503845340877681,7.139228181715587e-05
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N7,0.047619047619047616,0.04924963009934475,5.490010706074501e-05
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N8,0.047835842736821566,0.04682698404955856,2.150441565682019e-05
test,PREV_GRANTED_REQUESTED_RATIO_MEAN,N9,0.04889813881391391,0.048875664601726744,1.0331810867212516e-08
test,APP_GOODS_CREDIT_RATIO,MISSING,0.0008726003490401396,0.0008292278425442661,2.211247621107574e-06
test,APP_GOODS_CREDIT_RATIO,N0,0.059038730447790316,0.060322260702729946,2.7605558642697996e-05
test,APP_GOODS_CREDIT_RATIO,N1,0.14598441243103205,0.1449685381200917,7.093963524779629e-06
test,APP_GOODS_CREDIT_RATIO,N2,0.1573661561141643,0.156691543501943,2.898211870579575e-06
test,APP_GOODS_CREDIT_RATIO,N3,0.2038795486325648,0.20532331756174496,1.0187990078564953e-05
test,APP_GOODS_CREDIT_RATIO,N4,0.4328585520254084,0.43186511227094615,2.282632060844173e-06
test,OCCUPATION_TYPE,C0,0.15836341365592446,0.15875648342357285,9.744195983065426e-07
test,OCCUPATION_TYPE,C1,0.184189132060746,0.1816984537339642,3.3909728509669484e-05
test,OCCUPATION_TYPE,C2,0.103503409103227,0.10635253564866755,7.736755693982096e-05
test,OCCUPATION_TYPE,C3,0.17950093763888436,0.17873924849194348,3.2390069751652284e-06
test,OCCUPATION_TYPE,C4,0.06067553358698362,0.06111896980635091,3.228988895747786e-06
test,OCCUPATION_TYPE,MISSING,0.31376757395423455,0.313334308895501,5.98686261744547e-07
test,BUREAU_ACTIVE_COUNT,MISSING,0.14296554041602982,0.1449360193811684,2.6973441791327863e-05
test,BUREAU_ACTIVE_COUNT,N0,0.14984336552740832,0.15366730078207566,9.636072948621294e-05
test,BUREAU_ACTIVE_COUNT,N1,0.2411791486455725,0.24124026470253485,1.548516637291e-08
test,BUREAU_ACTIVE_COUNT,N2,0.19056290852330005,0.18600718664130206,0.00011023506523867029
test,BUREAU_ACTIVE_COUNT,N3,0.1242181826065277,0.12223793961270182,3.182267633808212e-05
test,BUREAU_ACTIVE_COUNT,N4,0.0717700237390654,0.0703542916605694,2.8205780399766993e-05
test,BUREAU_ACTIVE_COUNT,N5,0.038996021809588846,0.03985171455050973,1.8573489825296816e-05
test,BUREAU_ACTIVE_COUNT,N6,0.040464808732507344,0.04170528266913809,3.74562684249327e-05
test,CC_UTILIZATION_MEAN,MISSING,0.7458781828233229,0.7458985740532982,5.574590943533786e-10
test,CC_UTILIZATION_MEAN,N0,0.11211559515679707,0.11173438694047445,1.2983681598749414e-06
test,CC_UTILIZATION_MEAN,N1,0.07597042914593563,0.0756711054745297,1.1816653906758475e-06
test,CC_UTILIZATION_MEAN,N2,0.06603579287394448,0.06669593353169764,6.566467460672376e-06
test,INST_LATE_RATE,MISSING,0.05833414631502499,0.058241061411638456,1.486559835320494e-07
